,title,company_name,location,pay,summary_bullets,post_url
34,Customer Service,STARTEK,"Bengaluru, Karnataka",NA,"•Job Types: Full-time, Regular / Permanent.",https://www.indeed.com/viewjob?jk=644d2e9a6c8fd243
35,Spec Investment Control,Empower Retirement,"Bengaluru, Karnataka",NA,•Discrepancies will be discovered through reconciliations of system balances to information received from the fund houses or on the recordkeeping system.,https://www.indeed.com/viewjob?jk=f93d8be16a6889e1
36,Wealth BA (Transact Team),Temenos,"Bengaluru, Karnataka",NA,NA,https://www.indeed.com/viewjob?jk=8858bda359eafecd
37,Operations Expert - AVP,Deutsche Bank,"Bengaluru, Karnataka",NA,•The Reg & Tax analyst role is an operations function where you will be involved in reviewing various regulatory documents related to clients to ensure that all…,https://www.indeed.com/viewjob?jk=c9f3f6b92e40127e
38,New Associate-Record To Report,Accenture,"Bengaluru, Karnataka+2 locations",NA,"•You will be given detailed instructions on all tasks that need to be carried out, and the decisions that you make will impact your work.",https://www.indeed.com/viewjob?jk=2c275a8122a7dc26
39,Infotainment Testing,Harman International,"Bengaluru, Karnataka",NA,NA,https://www.indeed.com/viewjob?jk=e785211cf08ec12e
40,Contract Administrator,NA,"Chennai, Tamil Nadu",NA,"•Prepares bids, process specifications, test and progress reports, and other exhibits that may be required.",https://www.indeed.com/viewjob?jk=b3307bbd37752c38
41,New Associate-IT Help desk,Accenture,"Bengaluru, Karnataka+1 location",NA,"•You will be aligned with our Customer Support vertical and help us in managing/ resolving customers query, handling escalations and complaints of the…",https://www.indeed.com/viewjob?jk=784f90eda0bf955a
42,Spec Processing Money,Empower Retirement,"Bengaluru, Karnataka",NA,•Experience in the US retirement industry for 1 t3 years(not…,https://www.indeed.com/viewjob?jk=4e164d3b851354df
43,Officer Collections,TATA Capital,"Ludhiana, Punjab",NA,•Increase the fee income / revenue and develop initiatives to control and reduce the amount of vendor payouts 4.,https://www.indeed.com/viewjob?jk=8caa4a8727f3e1b5
44,Directeur Administratif et Financier (H/F),NA,India,NA,•Contribuer à la définition des orientations financières et comptables.,https://www.indeed.com/viewjob?jk=d5505775413287cd
45,Machine Operator,NA,"Padi, Chennai, Tamil Nadu",NA,•Every customer and employee is instructed to wear masks and to follow the safety guidelines on the company's premises.,https://www.indeed.com/viewjob?jk=17887e7b55cc0482
46,Fresher Trainee,NA,"Remote in Nashik, Maharashtra",NA,NA,https://www.indeed.com/viewjob?jk=6a61392cdf619d95
47,New Associate-IT Help desk,Accenture,"Bengaluru, Karnataka+1 location",NA,"•You will be aligned with our Customer Support vertical and help us in managing/ resolving customers query, handling escalations and complaints of the…",https://www.indeed.com/viewjob?jk=784f90eda0bf955a
48,Customer Service,STARTEK,"Bengaluru, Karnataka",NA,"•Job Types: Full-time, Regular / Permanent.",https://www.indeed.com/viewjob?jk=644d2e9a6c8fd243
49,Spec Processing Participant Transaction,Empower Retirement,"Bengaluru, Karnataka",NA,•Experience in the US retirement industry for 1 t3 years(not…,https://www.indeed.com/viewjob?jk=b5fd526a5ce914bd
50,Personal Assistant,NA,"Pune, Maharashtra",NA,"•Job Types: Full-time, Regular / Permanent.",https://www.indeed.com/viewjob?jk=b51da33dc6df8ba4
51,Associate-IT Help desk,Accenture,"Bengaluru, Karnataka",NA,"•You will be aligned with our Customer Support vertical and help us in managing/ resolving customers query, handling escalations and complaints of the…",https://www.indeed.com/viewjob?jk=ed4ad538eb18967c
52,Spec Conversion Part Data Setup,Empower Retirement,"Bengaluru, Karnataka",NA,•DUTIES / RESPONSIBILITIES / ESSENTIAL FUNCTIONS: Provide support to internal clients and accurately process plan and participant records from prior record…,https://www.indeed.com/viewjob?jk=87a4b80929807293
53,Automotive or Spare Parts Interpreters,NA,"Jaipur, Rajasthan",NA,•Strong working knowledge of the automotive industry.,https://www.indeed.com/viewjob?jk=fbca94a2be81d7e3
54,Account Executive - Sales (Supply Chain),NA,"Remote in Chennai, Tamil Nadu",NA,NA,https://www.indeed.com/viewjob?jk=590bed21a62ef861
55,OAC - Associate 2,PwC,"Bengaluru, Karnataka",NA,"•Primary focus on developing customer solutions using Oracle's analytics offerings: Oracle Analytics Cloud, Oracle Data Visualization, Oracle Fusion Cloud and…",https://www.indeed.com/viewjob?jk=f8ddfb5aaf50a759
56,Operations Associate- 1 (Humor- Telugu),sharechat,"Temporarily Remote in Bengaluru, Karnataka",NA,•The ability to connect with the target audience and have a creative bent to get them to engage more will be an added plus.,https://www.indeed.com/viewjob?jk=4ec9e66dff5ad47c
57,Associate-Catastrophe Underwriting,Accenture,"Bengaluru, Karnataka",NA,•You will be provided detailed to a moderate level of instruction on daily work tasks and detailed instruction on new assignments and the decisions that you make…,https://www.indeed.com/viewjob?jk=837a8876d9bf1aee
58,Operations Expert - AVP,Deutsche Bank,"Bengaluru, Karnataka",NA,•The Reg & Tax analyst role is an operations function where you will be involved in reviewing various regulatory documents related to clients to ensure that all…,https://www.indeed.com/viewjob?jk=c9f3f6b92e40127e
59,Officer Collections,TATA Capital,"Ludhiana, Punjab",NA,•Increase the fee income / revenue and develop initiatives to control and reduce the amount of vendor payouts 4.,https://www.indeed.com/viewjob?jk=8caa4a8727f3e1b5
